Survey Code,Survey,Food Group Code,Food Group,Indicator Code,Indicator,Geographic Level Code,Geographic Level,Element Code,Element,Unit,Value,Flag
"116_2021","Cambodia - 2021","FGW1","Grains, white roots and tubers, and plantains","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","99.300000","E"
"116_2021","Cambodia - 2021","FGW1A","Foods made from grains","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","98.800000","E"
"116_2021","Cambodia - 2021","FGW1A","Foods made from grains","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","98.600000","E"
"116_2021","Cambodia - 2021","FGW1A","Foods made from grains","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","99.100000","E"
"116_2021","Cambodia - 2021","FGW1B","White roots and tubers or plantains","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","22.100000","E"
"116_2021","Cambodia - 2021","FGW1B","White roots and tubers or plantains","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","18.900000","E"
"116_2021","Cambodia - 2021","FGW1B","White roots and tubers or plantains","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","26.600000","E"
"116_2021","Cambodia - 2021","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","11.200000","E"
"116_2021","Cambodia - 2021","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","8.600000","E"
"116_2021","Cambodia - 2021","FGW2","Pulses (beans, peas and lentils)","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","14.600000","E"
"116_2021","Cambodia - 2021","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","6.600000","E"
"116_2021","Cambodia - 2021","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","4.300000","E"
"116_2021","Cambodia - 2021","FGW3","Nuts and seeds","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","9.800000","E"
"116_2021","Cambodia - 2021","FGW4","Dairy","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","29.100000","E"
"116_2021","Cambodia - 2021","FGW4","Dairy","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","23.200000","E"
"116_2021","Cambodia - 2021","FGW4","Dairy","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","37.200000","E"
"116_2021","Cambodia - 2021","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","97.000000","E"
"116_2021","Cambodia - 2021","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","96.600000","E"
"116_2021","Cambodia - 2021","FGW5","Meat, poultry and fish","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","97.500000","E"
"116_2021","Cambodia - 2021","FGW6","Eggs","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","41.200000","E"
"116_2021","Cambodia - 2021","FGW6","Eggs","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","39.600000","E"
"116_2021","Cambodia - 2021","FGW6","Eggs","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","43.500000","E"
"116_2021","Cambodia - 2021","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","65.200000","E"
"116_2021","Cambodia - 2021","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","62.400000","E"
"116_2021","Cambodia - 2021","FGW7","Dark green leafy vegetables","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","69.000000","E"
"116_2021","Cambodia - 2021","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","39.500000","E"
"116_2021","Cambodia - 2021","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","33.900000","E"
"116_2021","Cambodia - 2021","FGW8","Other vitamin A-rich fruits and vegetables","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","47.000000","E"
"116_2021","Cambodia - 2021","FGW9","Vegetables, other","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","54.800000","E"
"116_2021","Cambodia - 2021","FGW9","Vegetables, other","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","50.600000","E"
"116_2021","Cambodia - 2021","FGW9","Vegetables, other","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","60.600000","E"
"116_2021","Cambodia - 2021","FGW10","Fruits, other","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","50.900000","E"
"116_2021","Cambodia - 2021","FGW10","Fruits, other","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","45.000000","E"
"116_2021","Cambodia - 2021","FGW10","Fruits, other","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","58.900000","E"
"116_2021","Cambodia - 2021","FGW11","Fried and salty snacks","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","18.200000","E"
"116_2021","Cambodia - 2021","FGW11","Fried and salty snacks","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","16.900000","E"
"116_2021","Cambodia - 2021","FGW11","Fried and salty snacks","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","20.100000","E"
"116_2021","Cambodia - 2021","FGW12","Sweet foods","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","21.100000","E"
"116_2021","Cambodia - 2021","FGW12","Sweet foods","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","20.300000","E"
"116_2021","Cambodia - 2021","FGW12","Sweet foods","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","22.100000","E"
"116_2021","Cambodia - 2021","FGW13","Sweet beverages","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","62.600000","E"
"116_2021","Cambodia - 2021","FGW13","Sweet beverages","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","57.500000","E"
"116_2021","Cambodia - 2021","FGW13","Sweet beverages","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","69.500000","E"
"116_2021","Cambodia - 2021","FGW18","Other beverages and foods","6212","Percentage of women consuming each food group","10000","National","6121","Value","%","6.700000","E"
"116_2021","Cambodia - 2021","FGW18","Other beverages and foods","6212","Percentage of women consuming each food group","10002","Rural","6121","Value","%","9.300000","E"
"116_2021","Cambodia - 2021","FGW18","Other beverages and foods","6212","Percentage of women consuming each food group","10001","Urban","6121","Value","%","3.100000","E"
